fake
awful application
nice app
its a waste of time it always stops working
worst application
it doesnt even work its nothing like what it says
waste of time
it does not work at all
bad app
it doesnt work
very bad app
i am having problems with it
waste of time and data
i hate it because it has many problems 
totally a waste of time it doesnt work at all irritating
it is not working
useless app
good
bad application
bad design
useless
it is not responding please do not install this nonsense application
it is just useless
this application is so annoying and not useful at all
too many advertisements not good
useless
hated it bad
useless trash
good
bad absolutely hate it
good
terrible
nice app
horrible
super
waste of time
it is a waste of time
you deserve a bad rating
not working
terrible design
fake
bad app
bad
worst app ever
nice
waste of time
terrible application
no use at all do not install it you will regret it
i hate it
totally a waste of time
it doesnt work at all
ok but not great
waste of time
hated it is not useful
it does not work
too many advertisements bad
hate it
this application is so annoying
such a nonsense application
too many advertisements it is bad
useless
does not work
it is fine
bad
it has problems
remove it from the application store absolutely terrible
it does not even work
it is not working
bad application
it works but needs improvement
super
bad
disliked it
nice app
good
bad application hated it
good
dislike it
terrible not good
good
awful
it does not work
bad application
didnt like the application at all
not useful at all
hate it
does not work
good app
the worst
useless application
useless
waste application
incompetent design
it works
bad fix it
needs improvements
i hate this application
ok
good
terrible application an absolute waste of time
