nice keeps me company with friends
awesome game
this game is the best offline game
this game is awesome
touch not working properly on one plus
bad game
amazing
nice game
this is a pretty amazing game i love it
full of timepass with enjoyment
best team game
not bad
it is a very fun game
good
nice
nice game
nice
nice
its very nice
nice
i love this game so much
its amazing
a cool multiplayer game
excellent
i like this game a lot but it is not opening in my phone
best
perfect
great app
perfect
good
this is a super game
cool
i love this game
really bad game introduces malware in the device when installed
good
super
nice
exciting
best game ever
awesome
good
good
really good game
very bad
superb
amazing app
its a great game
good but unpredictable game
super game
it is good but needs improvement
nice game i love it
it is a good multiplayer game
nice
best multiplayer game
nice
good game i like it very much
i love it but requires improvements
i used to love it but now there are problems
awesome game
good game 
exciting game and very interesting to play
great
really good game
nice game
good
worst could not download
good game
nice game
superb
good game
good
good game
great game for a group
good
good game
awesome game
nice game for some students
not good
nice game
game is very good
it is a very interesting game in which two or more players can play
superb
cool
game is quite boring
super
nice game we really enjoyed it
nice game
very nice
best game ever
very good game
simply awesome
nice
i like it
very good game
good graphics very nice app  super
loved it
nice game but need one thing online gaming
good
good offline game 
great
